ກປ.ອອນໄລ - ໂດຍໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຄັດເລືອກ	KPR Online - Quân đội nhân dân Việt Nam bình chọn
ຜ່ານນັ້ນໄດ້ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າ, ເປັນເຈົ້າການເຂົ້າໃນການສ້າງສາ, ກໍານົດລະບອບລະບຽບການຫຼາຍຝ່າຍໃຫ້ເປັນຮູບເປັນຮ່າງ.	Thông qua đó, ông đã đóng góp tích cực vào việc thành lập Bộ Giáo dục và thiết lập hệ thống pháp luật đa phương.
5.	5.
ມານະພະຍາຍາມແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກຝົນຕົກນໍ້າຖ້ວມຢູ່ພາກກາງ	Mana đang cố gắng đối phó với hậu quả của lũ lụt ở miền Trung
ກອງທັບເຂົ້າຮ່ວມການກູ້ຊີບ-ກູ້ໄພ, ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກໄພທໍາມະຊາດຢູ່ແຂວງກວ໋າງນາມ.	Bộ đội tham gia cứu hộ, khắc phục hậu quả thiên tai trên địa bàn tỉnh Quảng Nam.
ພາບ: ວັນຈູງ	Ảnh: Van Chong
ປີ 2020, ຫວຽດນາມ ຖືກໄພທຳມະຊາດຢ່າງຮ້າຍແຮງ, ຜິດປົກກະຕິຢູ່ທຸກເຂດພາກໃນທົ່ວປະເທດ, ພິເສດແມ່ນຝົນຕົກນໍ້າຖ້ວມຢູ່ພາກກາງ.	Năm 2020, Việt Nam sẽ phải hứng chịu nhiều thiên tai nghiêm trọng trên khắp mọi miền đất nước, đặc biệt là miền Trung.
ທົ່ວປະເທດໄດ້ເກີດໄພທໍາມະຊາດ 576 ຄັ້ງ.	Cả nước có 576 thiên tai.
ບັນດາກໍາລັງກ່ຽວຂ້ອງ, ໃນນັ້ນມີກໍາລັງກອງທັບໄດ້ມານະພະຍາຍາມເຂົ້າຮ່ວມການກູ້ຊີບ-ກູ້ໄພ, ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກໄພທໍາມະຊາດ, ມີຫຼາຍຄົນໄດ້ເສຍສະຫຼະຊີວິດເມື່ອປະຕິບັດໜ້າທີ່.	Các lực lượng liên quan, bao gồm cả quân đội, đã tham gia vào các hoạt động cứu hộ, và nhiều người đã mất mạng do hậu quả của thiên tai.
6.	6.
ສືບຕໍ່ຍູ້ແຮງວຽກງານປ້ອງກັນ, ຕ້ານການສໍ້ລາດບັງຫຼວງ, ປະຕິບັດວິໄນພະນັກງານລະເມີດກົດໝາຍ	Tiếp tục tăng cường công tác phòng, chống tham nhũng, xử lý kỷ luật người lao động vi phạm pháp luật
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ແລະບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມທົ່ວປະເທດສະຫຼຸບວຽກງານສະກັດກັ້ນ, ຕ້ານການສໍ້ລາດບັງຫຼວງໄລຍະ 2013-2020.	Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch nước và các đại biểu dự Hội nghị toàn quốc về phòng, chống tham nhũng 2013-2020.
ພາບ: ຈິ໋ຢຸງ	Ảnh: Chí Dũng
ປີ 2020, ວຽກງານສະກັດກັ້ນ, ຕ້ານການສໍ້ລາດບັງຫຼວງສືບຕໍ່ໄດ້ຮັບການຍູ້ແຮງ.	Năm 2020, công tác phòng, chống tham nhũng tiếp tục được tăng cường.
ພະນັກງານຂັ້ນສູງຫຼາຍຄົນທີ່ກ່ຽວຂ້ອງເຖິງບັນດາຄະດີສໍ້ລາດບັງຫຼວງ, ໄພຫຍໍ້ທໍ້ຖືກປະຕິບັດວິໄນຢ່າງເຂັ້ມງວດ ແລະທ່ຽງທຳ.	Nhiều quan chức cấp cao liên quan đến các vụ án tham nhũng, nhũng nhiễu đều bị xử lý kỷ luật một cách công minh.
7.	7.
ເປັນຄັ້ງທໍາອິດສະພາແຫ່ງຊາດຫວຽດນາມ ຈັດກອງປະຊຸມຜ່ານລະບົບທາງໄກ	Lần đầu tiên Quốc hội Việt Nam tổ chức hội nghị từ xa
ວາລະໄຂກອງປະຊຸມຊຸດທີ X, ສະພາແຫ່ງຊາດສະໄໝທີ XIV ຜ່ານລະບົບທາງໄກ.	Chương trình kỳ họp thứ 10, Quốc hội khóa 14 qua hệ thống từ xa.
ພາບ: ວັນກ໊ວກ	Ảnh: Văn Quốc
ປີ 2020 ເປັນຂີດໝາຍພິເສດໃນປະຫວັດແຫ່ງການເຄື່ອນໄຫວຂອງສະພາແຫ່ງຊາດ ເມື່ອກອງປະຊຸມທັງສອງໃນປີລ້ວນແຕ່ໄດ້ດໍາເນີນເປັນສອງຄັ້ງ, 1 ຄັ້ງແມ່ນປະຊຸມຜ່ານລະບົບທາງໄກ ແລະ 1 ຄັ້ງແມ່ນປະຊຸມໂດຍກົງ.	Năm 2020 là một dấu mốc đặc biệt trong lịch sử Quốc hội khi hai kỳ họp trong năm được tổ chức hai lần, một lần thông qua cầu truyền hình và một lần trực tiếp.
ສະພາແຫ່ງຊາດຫວຽດນາມ ກາຍເປັນໜຶ່ງໃນບັນດາລັດຖະສະພາທໍາອິດໃນໂລກຜັນຂະຫຍາຍກອງປະຊຸມຜ່ານລະບົບທາງໄກ.	Quốc hội Việt Nam trở thành một trong những Quốc hội đầu tiên trên thế giới truyền hình từ xa.
8.	số 8.
ຄະນະຜູ້ແທນກອງທັບປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມ ແລະບັນລຸໄດ້ຜົນງານສູງຢູ່ງານແຂ່ງຂັນ Army Games 2020	Đoàn đại biểu Quân đội nhân dân Việt Nam tham gia và đạt thành tích cao tại Đại hội Thể thao quân đội 2020
ທີມລົດຕັງຫວຽດນາມ ແຂ່ງຂັນຢູ່ Army Games 2020.	Các đội xe tăng Việt Nam tranh tài tại Army Games 2020.
ພາບ: ຈ້ອງຫ໊າຍ	Ảnh: Trọng Hải
ເຂົ້າຮ່ວມງານແຂ່ງຂັນການທະຫານສາກົນ (Army Games) 2020, ຄະນະຜູ້ແທນກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຍົກສູງຈິດໃຈສາມັກຄີ, ແຂ່ງຂັນຢ່າງຕັ້ງໜ້າ, ປະດິດສ້າງ, ຍາດໄດ້ຜົນງານສູງ, ຫຼາຍລາຍການລື່ນກາຍຄາດໝາຍທີ່ໄດ້ວາງອອກ.	Tham gia Hội thao Quân đội 2020, đoàn Quân đội nhân dân Việt Nam nêu cao tinh thần đoàn kết, thi đấu quyết liệt, đổi mới, đạt thành tích cao và có nhiều diễn biến bất ngờ.
ໃນນັ້ນທີມລົດຕັງ ຍາດໄດ້ຫຼຽນຄຳຢູ່ກຸ່ມສອງ.	Đội giành HCV nhất nhì toàn đoàn.
9.	9.
ບາດກ້າວບຸກທະລຸໃນການຫັນປ່ຽນດີຈີຕອນແຫ່ງຊາດ, "Make in Vietnam", ສະເໝີຕົວເຄືອຂ່າຍ 5 ຈີ	Bước đột phá trong công cuộc chuyển đổi số quốc gia, "Make in Vietnam", ra mắt mạng 5G
ກົດປຸ່ມເປີດນໍາໃຊ້ການດໍາເນີນທຸລະກິດ 5 ຈີ ທົດລອງ ຂອງ Viettel.	Nhấn nút để kích hoạt Viettel 5G Beta Business.
ພາບ: ຈ່າມີ	Ảnh: Chammy
ປີ 2020 ແມ່ນປີທີ່ຫວຽດນາມ ເລີ່ມຕົ້ນການຫັນປ່ຽນດີຈີຕອນຢ່າງແຮງໃນທຸກໆຂະແໜງອາຊີບ, ຂົງເຂດ, ມຸ່ງໄປເຖິງການສ້າງຫວຽດນາມ ດີຈີຕອນ.	Năm 2020 là năm Việt Nam bắt tay vào công cuộc chuyển đổi số mạnh mẽ trên tất cả các lĩnh vực và khu vực, hướng tới mục tiêu kiến tạo một Việt Nam số.
ໃນປີຜ່ານມາ, ກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ໄດ້ປະຕິບັດ ແລະຫັນສານ “Make in Vietnam ເປັນລະອຽດກວ່າອີກ.	Năm ngoái, Bộ Thông tin và Truyền thông Việt Nam đã triển khai và sắp xếp hợp lý tòa án “Sản xuất tại Việt Nam”.
ບັນດາວິສາຫະກິດໂທລະຄົມມະນາຄົມ, ຄື: ກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel), ກຸ່ມບໍລິສັດໄປສະນີ-ໂທລະຄົມມະນາຄົມຫວຽດນາມ (VNPT) ດໍາເນີນທຸລະກິດ 5 ຈີ ທົດລອງ, ນໍາຫວຽດນາມ ກາຍເປັນປະເທດທີ 5 ໃນໂລກເປັນເຈົ້າຂອງໂຄງລ່າງ 5 ຈີ, ຜະລິດອຸປະກອນ 5 ຈີ.	Các doanh nghiệp viễn thông như Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel), Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT) triển khai thử nghiệm 5G, đưa Việt Nam trở thành quốc gia thứ 5 trên thế giới sở hữu hạ tầng 5G và thiết bị 5G.
10.	10.
ຫວຽດນາມ ມີສວນສາທາລະນະທໍລະນີທົ່ວໂລກ ຕື່ມອີກ 1 ແຫ່ງ	Việt Nam có thêm một công viên địa chất trên thế giới
ສວນສາທາລະນະທໍລະນີດັກນົງ.	Công viên địa chất Đắk Nông.
ພາບ: UNESCO	Ảnh: UNESCO
ວັນທີ 7 ກໍລະກົດ 2020, ທີ່ສໍານັກງານອົງການສຶກສາ, ວິທະຍາສາດ ແລະວັດທະນະທໍາສະຫະປະຊາຊາດ ປະຈໍາ ປາຣີ, ປະເທດຝະລັ່ງ, ຄະນະກໍາມະການໂຄງການ ແລະການພົວພັນສາກົນຂອງສະພາບໍລິຫານງານ UNESCO ສະໄໝ 209 ໄດ້ຮັບຮອງເອົາຂໍ້ຕົກລົງຮັບຮອງສວນສາທາລະນະທໍລະນີດັກນົງ ແມ່ນສວນສາທາລະນະທໍລະນີທົ່ວໂລກ.	Ngày 7 tháng 7 năm 2020, tại Văn phòng Tổ chức Giáo dục, Khoa học và Văn hóa Liên hợp quốc (UNESCO) ở Paris, Pháp, Ủy ban Điều hành các Dự án và Quan hệ Quốc tế của UNESCO 209 đã thông qua thỏa thuận phê chuẩn Công viên Thế giới.
ດ້ວຍການຮັບຮອງນີ້, ສວນສາທາລະນະທໍລະນີດັກນົງ ກາຍເປັນສວນສາທາລະນະທໍລະນີທົ່ວໂລກແຫ່ງທີ 3 ຢູ່ຫວຽດນາມ.	Với sự công nhận này, Vườn quốc gia Đắk Nông đã trở thành công viên địa chất toàn cầu thứ ba của Việt Nam.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
