ກປ.ອອນໄລ - ປະຈຸບັນ, 4/5 ວິສາຫະກິດໂທລະຄົມມະນາຄົມໄດ້ອອກໃບອະນຸຍາດ 4G ຢູ່ ຫວຽດນາມ.	KR Online - Hiện 4/5 doanh nghiệp viễn thông đã cấp phép 4G tại Việt Nam.
ພາຍຫຼັງຜັນຂະຫຍາຍມາເປັນເວລາ 6 ເດືອນ, Viettel ໄດ້ຕິດຕັ້ງສະຖານີຮັບ-ສົ່ງສັນຍານ 4G ສຳເລັດ ກວ່າ 36.000 ແຫ່ງ ເພື່ອກະຈາຍຄື້ນ 4G ໄປທົ່ວປະເທດ, ເພື່ອໃຫ້ເຂດປົກຄຸມ 4G ຂອງ Viettel ກວ້າງ ແລະເລິກເຊິ່ງ ຄືໄດ້ເຄີຍມາກ່ອນແລ້ວກັບ 2G, ໃຫຍ່ກວ່າທັງຈໍານວນສະຖານີຮັບ-ສົ່ງສັນຍານ 3G ໃນປະຈຸບັນຂອງ Viettel (ປະຈຸບັນ Viettel ພວມຂຸດຄົ້ນສະຖານີຮັບ-ສົ່ງສັນຍານ 3G ປະມານ 35.000 ແຫ່ງ) ນີ້ແມ່ນລະດັບຄວາມໄວໃນການຜັນຂະຫຍາຍເຄືອຂ່າຍອິນເຕີແນັດເຊິ່ງໂລກຍັງບໍ່ທັນມີມາກ່ອນ!	Sau 6 tháng triển khai, Viettel đã lắp đặt thành công hơn 36.000 trạm thu phát sóng 4G để phủ sóng 4G rộng khắp cả nước, giúp vùng phủ sóng 4G của Viettel rộng và sâu hơn bao giờ hết với 2G.
ມາຮອດປະຈຸບັນ, ເຄືອຂ່າຍ 4G ຂອງ Viettel ໄດ້ມີໜ້າຢ່າງກວ້າງຂວາງຢູ່ບັນດາແຂວງ, ນະຄອນໃນທົ່ວປະເທດ, ກະຈາຍຄື້ນເຖິງ 704 ເມືອງ, ທຽບເທົ່າກັບເກືອບ 99% ຈໍານວນເມືອງ.	Đến nay, mạng 4G Viettel đã có mặt rộng khắp các tỉnh thành trên cả nước, trải rộng tới 704 tỉnh thành, tương đương gần 99% tổng số tỉnh thành.
ໃນນັ້ນ, ມີເຖິງກວ່າ 100 ເມືອງເຂດຊາຍແດນ.	Có hơn 100 huyện biên giới.
ລະດັບຄວາມໄວໃນການຜັນຂະຫຍາຍຄືແນວນັ້ນຂອງ Viettel ຕົ້ນຕໍແມ່ນເລີ່ມຕົ້ນຈາກວິໄສທັດຂອງການນໍາກຸ່ມບໍລິສັດ.	Mức độ mở rộng của Viettel dựa trên tầm nhìn dẫn đầu một nhóm công ty.
ທ່ານ ຕ່າວດຶກທັ໋ງ, ຮອງຜູ້ອໍານວຍການໃຫຍ່ Viettel ແບ່ງປັນວ່າ, ການນໍາ Viettel ໄດ້ກໍານົດຕ້ອງກໍ່ສ້າງພື້ນຖານໂຄງລ່າງສາຍກາບໃຍແສງໃຫ້ກວ້າງຂວາງ, ແມ່ນພື້ນຖານເພື່ອຜັນຂະຫຍາຍເຕັກໂນໂລຢີຄວາມຖີ່ໃຫ້ກວ້າງຂວາງ.	Ông Tào Đức Thắng, Phó Tổng Giám đốc Viettel cho biết, Ban lãnh đạo Viettel xác định xây dựng hạ tầng cáp quang rộng khắp, làm cơ sở cho việc sử dụng rộng rãi công nghệ tần số.
ຍ້ອນແນວນັ້ນມາຮອດປະຈຸບັນ, Viettel ໄດ້ມີລະບົບສາຍກາບໃຍແສງຍາວ 320.000 ກິໂລແມັດ ຢູ່ຫວຽດນາມ.	Như vậy, đến nay Viettel đã có hệ thống cáp quang dài 320.000 km tại Việt Nam.
ຕາມຕີລາຄາຂອງບັນດານັກຊ່ຽວຊານໂທລະຄົມມະນາຄົມ, ດ້ວຍສະຖານີຮັບ-ສົ່ງ ສັນຍານ 4G ກວ່າ 36.000 ແຫ່ງນັ້ນສະເພາະພຽງແຕ່ພື້ນຖານໂຄງລ່າງຂອງ Viettel ແມ່ນພຽງພໍເພື່ອນໍາຫວຽດນາມ ເຂົ້າໃນ top 20 ປະເທດມີພື້ນຖານໂຄງລ່າງ 4G ທັນສະໄໝທີ່ສຸດ, ມີຄຸນນະພາບດີທີ່ສຸດ, ຄວາມໜາແໜ້ນປົກຄຸມພົນລະເມືອງດີທີ່ສຸດຕາມມາດຕະຖານສາກົນ.	Theo các chuyên gia viễn thông, với hơn 36.000 trạm phát 4G, chỉ riêng hạ tầng của Viettel đã đủ đưa Việt Nam vào top 20 quốc gia có hạ tầng 4G hiện đại nhất, chất lượng nhất, phủ sóng quốc tế tốt nhất.
ນັ້ນແມ່ນຍ້ອນເຕັກໂນໂລຢີ 4G ເຊິ່ງ Viettel ນໍາໃຊ້ແມ່ນເຕັກໂນໂລຢີ 4TX/4RX (4 ຮັບ, 4 ສົ່ງສັນຍານ) ທັນສະໄໝກວ່າເມື່ອທຽບໃສ່ເຕັກໂນໂລຢີ 4G ເຜີຍແຜ່ປະຈຸບັນໃນໂລກແມ່ນ 2TX/2RX (2 ຮັບ, 2 ສົ່ງສັນຍານ).	Đó là vì công nghệ 4G mà Viettel sử dụng là công nghệ 4TX / 4RX (4 thu, 4 phát) hiện đại hơn so với công nghệ 4G phổ biến trên thế giới hiện nay là 2TX / 2RX (2 thu, 2 phát).
ປະຈຸບັນ, ພຽງແຕ່ມີຍັງບໍ່ທັນເຖິງ 10% ຈໍານວນບໍລິສັດໂທລະຄົມມະນາຄົມໃນໂລກໄດ້ນໍາໃຊ້ເຕັກໂນໂລຢີນີ້.	Hiện tại, chỉ có dưới 10% các công ty viễn thông trên thế giới sử dụng công nghệ này.
ເຕັກໂນໂລຢີທັນສະໄໝກວ່າ, ຄວາມໜາແໜ້ນປົກຄຸມກວ້າງ ແລະເລິກເຊິ່ງກວ່າແມ່ນພື້ນຖານເພື່ອໃຫ້ Viettel ຍົກສູງຄຸນນະພາບບໍລິການ.	Công nghệ tiên tiến hơn, vùng phủ rộng hơn, sâu hơn là cơ sở để Viettel nâng cao chất lượng dịch vụ.
ເມື່ອເປັນຄືແນວນັ້ນ, ເຕັກໂນໂລຢີ 4G, ໂທລະຄົມມະນາຄົມຈະບໍ່ພຽງແຕ່ແມ່ນໂທລະຄົມມະນາຄົມອີກ.	Như vậy, với công nghệ 4G, viễn thông sẽ không còn là viễn thông nữa.
ໂທລະຄົມມະນາຄົມຄວາມຈິງຈະແຊກຊຶມຢ່າງເລິກເຊິ່ງ ກວ້າງຂວາງເຂົ້າ IT, ຊຸກຍູ້ ແລະສ້າງເງື່ອນໄຂໃຫ້ບັນດາແອບໂທລະສັບມືຖືໃນທຸກຂົງເຂດຂອງການດໍາລົງຊີວິດໃນສັງຄົມ.	Viễn Thông Chân Chính sẽ thâm nhập sâu vào lĩnh vực CNTT, khuyến khích và tạo ra các ứng dụng di động cho mọi lĩnh vực của đời sống xã hội.
ຊີວິດການເປັນຢູ່ມີຜົນປະໂຫຍດກວ່າ.	Cuộc sống đáng sống hơn.
ຕົວເມືອງສະຫຼາດ, ອຳນາດການປົກຄອງເອເລັກໂຕນິກ, ພົນລະເມືອງດີຈີຕອນ, ການກວດ, ປິ່ນປົວພະຍາດແຕ່ໄກ, ການສຶກສາ ແລະບໍາລຸງສ້າງໄດ້ທຸກເວລາ, ທຸກແຫ່ງ...	Thành phố thông minh, chính phủ điện tử, quyền công dân số, chẩn đoán, điều trị từ xa, giáo dục đào tạo mọi lúc, mọi nơi ...
ບັນດາພາລະກອນເຕັກນິກຂອງ Viettel ຢູ່ສະຖານີຮັບ-ສົ່ງສັນຍານ 4G ທີ່ຫາກໍ່ໄດ້ຕິດຕັ້ງສໍາເລັດ.	Đoàn công tác kỹ thuật của Viettel tại trạm phát 4G mới lắp đặt
ພາບ:ມາຍຮ່າ	Ảnh: Mai Hà
12 ປີຈາກ “ການປະຕິວັດຂໍ້ມູນ ຮອດ “ການປະຕິວັດພູມປັນຍາ	12 năm từ “Cách mạng thông tin đến“ Cách mạng trí tuệ
ໂທລະສັບມືຖືເລີ່ມຕົ້ນມີໜ້າຢູ່ຫວຽດນາມໃນປີ 1993, ແຕ່ວ່າພຽງແຕ່ຮອດປີ 2005, ເມື່ອ Viettel ໄດ້ເຂົ້າຮ່ວມຕະຫຼາດຈຶ່ງສ້າງເປັນການປະຕິວັດ, ເຮັດໃຫ້ຂະແໜງໂທລະຄົມມະນາຄົມປະເທດຊາດມີການປ່ຽນແປງໃຫຍ່ (Viettel ເຂົ້າຮ່ວມຕະຫຼາດໂທລະຄົມມະນາຄົມ ທ້າຍປີ 2004 ແຕ່ມາຮອດປີ 2005 ຈຶ່ງບຸກທະລຸຢ່າງແທ້ຈິງ).	Điện thoại di động được giới thiệu tại Việt Nam từ năm 1993, nhưng phải đến năm 2005, khi Viettel gia nhập thị trường, cuộc cách mạng mới diễn ra, cách mạng hóa lĩnh vực viễn thông cả nước (Viettel tham gia thị trường viễn thông vào cuối năm 2004, nhưng đến năm 2005 mới thực sự đột phá).
ນັ້ນແມ່ນການເຜີຍແຜ່ໂທລະສັບເຖິງຊາວຫວຽດນາມ ເພື່ອໃຫ້ປະຊາຊົນແຕ່ລະຄົນມີໂທລະສັບຜູ້ລະ 1 ໜ່ວຍ, ນໍາອັດຕາຄວາມໜາແໜ້ນໂທລະສັບແຕ່ 4%ໃນປີ 2004 ຂຶ້ນເຖິງເກືອບ 100% ໃນປີ 2008.	Đó là phổ biến điện thoại đến người Việt Nam để mỗi người có một điện thoại di động, đưa tỷ lệ sử dụng điện thoại từ 4% năm 2004 lên gần 100% năm 2008.
ບັນດານັກຊ່ຽວຊານໂທລະຄົມມະນາຄົມ-ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານເອີ້ນນີ້ວ່າ ແມ່ນການປະຕິວັດ “ຮັບຟັງ ແລະໂອ້ລົມ.	Các chuyên gia viễn thông và công nghệ thông tin gọi đây là “cuộc cách mạng nghe và nói”.
ຜົນງານນີ້ຂອງ Viettel ຊ່ວຍໃຫ້ຫວຽດນາມໄດ້ຮັບການຮັບຮອງຈາກໂລກວ່າແມ່ນໜຶ່ງໃນບັນດາປະເທດມີລະດັບການພັດທະນາໂທລະຄົມມະນາຄົມຢ່າງໄວທີ່ສຸດ.	Việc làm của Viettel đã giúp Việt Nam được thế giới công nhận là một trong những quốc gia có tốc độ phát triển viễn thông nhanh nhất thế giới.
ປີ 2010, ຫວຽດນາມນອນໃນບັນຊີລາຍຊື່ 10 ປະເທດ ມີລະດັບການພັດທະນາຢ່າງໄວທີ່ສຸດກ່ຽວກັບໂທລະຄົມມະນາຄົມ.	Năm 2010, Việt Nam nằm trong top 10 quốc gia đứng đầu về phát triển viễn thông.
ມາຮອດປະຈຸບັນ, ນັບທັງຫວຽດນາມ, Viettel ໄດ້ຜັນຂະຫຍາຍເຄືອຂ່າຍ 4G ຢູ່ 7 ປະເທດ, ແມ່ນບັນດາຕະຫຼາດ Viettel ພວມລົງທຶນ, ດໍາເນີນທຸລະກິດ.	Đến nay, Viettel đã triển khai mạng 4G tại 7 quốc gia, trong đó có các thị trường của Viettel.
ຄຽງຂ້າງທ່າແຮງກ່ຽວກັບທຶນຮອນ, ບົດຮຽນໃນການຜັນຂະຫຍາຍຢ່າງວ່ອງໄວ, Viettel ມີທ່າແຮງໃໝ່ຕື່ມອີກກ່ຽວກັບເຕັກໂນໂລຢີເມື່ອໄດ້ຄົ້ນຄວ້າດ້ວຍຕົນເອງ, ຜະລິດສະຖານີຮັບ-ສົ່ງສັນຍານ 4G ໄດ້, ຄ່ອຍໆປ່ຽນແທນເຄື່ອງອຸປະກອນນໍາເຂົ້າ.	Cùng với tiềm lực về vốn, bài học kinh nghiệm trong việc tiếp nhận nhanh chóng, Viettel có tiềm năng phát triển hơn nữa công nghệ khi tự nghiên cứu, sản xuất trạm thu phát sóng 4G, thay thế dần thiết bị nhập khẩu.
ທ່ານພົນຈັດຕະວາ ຫງວຽນແມ້ງຮຸ່ງ, ຜູ້ອຳນວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel, ຢັ້ງຢືນວ່າ: “ພວກຂ້າພະເຈົ້າຖືນີ້ແມ່ນພາລະກຳຂອງ Viettel ສໍາລັບທັງຊາດຕົນ.	Trung tướng Nguyễn Mạnh Hùng, Tổng Giám đốc Tập đoàn Viettel khẳng định: “Chúng tôi coi đây là trách nhiệm của Viettel đối với cả dân tộc.
Viettel ວາງເປົ້າໝາຍຈະປະຕິບັດໃຫ້ໄດ້ສິ່ງນັ້ນໃນ 4 ປີ, ຄືກັນ ກັບເຄີຍປະຕິບັດກັບ 2G.	Viettel đặt mục tiêu đạt được điều đó trong 4 năm, giống như đã làm được với 2G.
ສຳລັບ 4G, Viettel ຕັດສິນໃຈເອົາຄືນໄດ້ອັນດັບກ່ຽວກັບໂທລະຄົມມະນາຄົມຂອງຫວຽດນາມ ໃນແຜນທີ່ໂທລະຄົມມະນາຄົມໂລກກໍ່ຄືນໍາພື້ນຖານໂຄງລ່າງໂທລະຄົມມະນາຄົມໄປກ່ອນ, ກະກຽມໃຫ້ການພັດທະນາຂອງປະເທດຊາດ ແລະພິເສດແມ່່ນການປະຕິວັດອຸດສາຫະກໍາຄັ້ງທີ 4 ໂດຍອີງໃສ່ພື້ນຖານໂທລະຄົມມະນາຄົມ- ຄວາມຖີ່.	Đối với 4G, Viettel quyết định chiếm lại thứ hạng viễn thông Việt Nam trên bản đồ viễn thông toàn cầu cũng như đưa hạ tầng viễn thông đi trước, chuẩn bị cho sự phát triển của đất nước và đặc biệt là cuộc Cách mạng công nghiệp lần thứ tư dựa trên tần số viễn thông.
ເຜີຍແຜ່ເຄືອຂ່າຍ 4G ໃຫ້ເຂົ້າເຖິງປະຊາຊົນແຕ່ລະຄົນ	Phổ biến mạng 4G đến từng người
ການລົງທຶນໃຫຍ່ ແລະການຜັນຂະຫຍາຍຢ່າງວ່ອງໄວຂອງ Viettel ສະແດງໃຫ້ເຫັນຄວາມຖືກຕ້ອງຕາມຄໍາໝັ້ນສັນຍາຂອງກຸ່ມ ບໍລິສັດ.	Việc Viettel đầu tư lớn và triển khai nhanh chóng chứng tỏ cam kết của tập đoàn.
ຕາມນັ້ນແລ້ວ, Viettel ໄດ້ວາງເປົ້າໝາຍໃຫ້ຕົນແມ່ນ, ຮອດປີ 2020, ຊາວຫວຽດນາມ ແຕ່ລະຄົນຈະມີໂທລະສັບມືຖືຄົນລະ 1 ໜ່ວຍເພື່ອເຂົ້າເຖິງເຄືອຂ່າຍອິນເຕີແນັດ.	Theo đó, Viettel đặt mục tiêu đến năm 2020, mỗi người Việt Nam có một điện thoại di động để truy cập Internet.
ການລົງທຶນນີ້ກໍ່ສະແດງໃຫ້ເຫັນວິໄສທັດຂອງ Viettel, ໂທລະສັບສະຫຼາດ ແລະຄວາມຖີ່ໂທລະສັບມືຖືແມ່ນກາລະໂອກາດໃຫ້ບັນດາປະເທດພວມພັດທະນາ.	Khoản đầu tư này cũng thể hiện tầm nhìn của Viettel rằng điện thoại thông minh và tần số di động là cơ hội cho các nước đang phát triển.
ເພື່ອຮັດແຄບຊ່ອງຫວ່າງລະຫວ່າງຊົນນະບົດ ແລະຕົວເມືອງ, ລະຫວ່າງຄົນຮັ່ງມີ ແລະຄົນທຸກ ຍາກບໍ່ແມ່ນເລື່ອງງ່າຍດາຍ ແລະຈະຕ້ອງເສຍເວລາຫຼາຍທີ່ສຸດ.	Thu hẹp khoảng cách giữa nông thôn và thành thị, giữa người giàu và người nghèo không phải là điều dễ dàng và sẽ mất rất nhiều thời gian.
ແຕ່ໂທລະຄົມມະນາຄົມພັດເຮັດໄດ້ສິ່ງນີ້ໃນເວລາອັນສັ້ນ.	Nhưng viễn thông có thể làm được điều này trong thời gian ngắn.
ເພື່ອສ້າງເງື່ອນໄຂສະດວກໃນການເຜີຍແຜ່ເຄືອຂ່າຍ 4G, Viettel ຈະມີບັນດາວິທີການແກ້ໄຂເພື່ອໃຫ້ລາຄາ 4G ຖືກກວ່າລາຄາ 3G.	Để việc triển khai mạng 4G được thuận lợi, Viettel sẽ có những giải pháp để 4G rẻ hơn 3G.
ພິເສດ, Viettel ຈະມີນະໂຍບາຍເພື່ອໃຫ້ພໍ່ແມ່ປະຊາຊົນສາມາດນໍາໃຊ້ການບໍລິການ 4G ໂດຍບໍ່ເສຍຄ່າເພື່ອເຂົ້າເຖິງບາງໜ້າຂ່າວທີ່ຈຳເປັນໂດຍພື້ນຖານຄືເຜີຍແຜ່ຄວາມຮູ້ກ່ຽວກັບກົດໝາຍ, ກະສິກໍາ, ແພດສາດ...	Đặc biệt, Viettel sẽ có chính sách cho phép phụ huynh sử dụng dịch vụ 4G miễn phí để truy cập một số kênh thông tin cơ bản như phổ biến kiến thức pháp luật, nông nghiệp, y dược ...
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
