ກປ.ອອນໄລ - ການພົວພັນຕ່າງປະເທດດ້ານທະຫານເຮືອແມ່ນພາກສ່ວນໜຶ່ງທີ່ສໍາຄັນຂອງການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ.	KPR Online - Đối ngoại hải quân là một bộ phận quan trọng của quan hệ đối ngoại quốc phòng.
ສ້າງຕັ້ງ ແລະຮັກສາກົນໄກປຶກສາຫາລືສອງຝ່າຍກັບທະຫານເຮືອລັດເຊຍ, ອິນເດຍ, ອາເມລິກາ, ຍີ່ປຸ່ນ, ໄທ, ອິນໂດເນເຊຍ, ຟີລິບປິນ, ມາເລເຊຍ, ສິງກະໂປ ແລະບຣູໄນ...	Thiết lập và duy trì cơ chế đối thoại song phương với hải quân các nước Nga, Ấn Độ, Hoa Kỳ, Nhật Bản, Thái Lan, Indonesia, Philippines, Malaysia, Singapore và Brunei ...
ກໍາປັ່ນໝາຍເລກ 012 ລີ້ຖ໊າຍໂຕ໋ ຂອງທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມການຝຶກຊ້ອມຫຼາຍຝ່າຍທະຫານເຮືອອາຊຽນ ຢູ່ ໄທ ໃນປີ 2017 (AMNEX1-2017).	Hải cảng bí mật số 012 của Hải quân nhân dân Việt Nam tham gia Diễn tập đa phương Hải quân ASEAN tại Thái Lan năm 2017 (AMNEX1-2017).
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນຂອບເຂດຫຼາຍຝ່າຍ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມ ແລະເປັນສະມາຊິກທີ່ຕັ້ງໜ້າ, ມີຄວາມຮັບຜິດຊອບຂອງບັນດາກົນໄກຮ່ວມມືທະຫານເຮືອນາໆຊາດ, ໃນນັ້ນມີສອງກົນໄກຫຼັກນັ້ນແມ່ນກອງປະຊຸມຜູ້ບັນຊາການທະຫານເຮືອບັນດາປະເທດອາຊຽນ (ANCM) ແລະກອງປະຊຸມສໍາມະນາທະຫານເຮືອປາຊີຟິກຕາເວັນຕົກ (WPNS).	Về nhiều mặt, Hải quân nhân dân Việt Nam đã là thành viên và thành viên của Cơ chế hợp tác hàng hải quốc tế, với hai cơ chế chính là Hội nghị Tư lệnh Hải quân ASEAN (ANCM) và Hội nghị Hải quân Tây Thái Bình Dương (WPNS).
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ມີບັນດາການປະກອບສ່ວນເຊິ່ງໄດ້ຮັບການຕີລາຄາສູງຈາກບັນດາປະເທດສະມາຊິກ, ພົ້ນເດັ່ນແມ່ນການຫັນການພົບປະແລກປ່ຽນທະຫານເຮືອບັນດາປະເທດອາຊຽນ (ANI) ເປັນກອງປະຊຸມ ANCM ຢ່າງເປັນທາງການ ແລະເປັນປະຈໍາ, ເລີ່ມຕົ້ນແຕ່ ANCM 5 ທີ່ໄດ້ຈັດຕັ້ງຢູ່ຮ່າໂນ້ຍ ໃນປີ 2011.	Hải quân nhân dân Việt Nam đã có sự đóng góp đáng kể của các nước thành viên, nổi bật nhất là Hội nghị trao đổi Hải quân ASEAN (ANI) là cuộc họp ANCM chính thức và thường xuyên, bắt đầu từ ANCM 5 tại Hà Nội năm 2011.
ທີ່ ANCM 5, ໃນຖານະເປັນປະເທດເຈົ້າພາບ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ຍົກອອກຫົວຂໍ້ທີ່ວ່າ “ການຮ່ວມມືທະຫານເຮືອບັນດາປະເທດອາຊຽນ ເພື່ອສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງທາງທະເລ ພ້ອມກັບ 3 ຂໍ້ລິເລີ່ມທີ່ໄດ້ຮັບຄວາມເຫັນດີເຫັນພ້ອມສູງ, ລວມມີ: ສ້າງຕັ້ງໂທລະສັບສາຍດ່ວນ, ລະບຽບການທັກທາຍກັນຢູ່ທະເລລະຫວ່າງກໍາປັ່ນ ແລະເຮືອບິນບັນດາປະເທດອາຊຽນ (Hello ASEAN) ແລະການພົບປະແລກປ່ຽນນາຍທະຫານໜຸ່ມທະຫານເຮືອອາຊຽນ (ANYOI).	Tại ANCM 5, với tư cách là nước chủ nhà, Hải quân nhân dân Việt Nam nêu chủ đề “Hợp tác hải quân ASEAN vì hòa bình và an ninh hàng hải với ba sáng kiến đồng thuận, bao gồm thiết lập đường dây nóng điện thoại, trao đổi hải quân ASEAN và trao đổi hải quân ASEAN.
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ແມ່ນສະມາຊິກສົມບູນຂອງ WPNS ແຕ່ປີ 1994 ເຊິ່ງເປັນເວທີປາໄສທີ່ມີອິດທິພົນຊື່ສຽງກ່ຽວກັບການຮ່ວມມືດ້ານຄວາມໝັ້ນຄົງທາງທະເລຂອງທະຫານເຮືອບັນດາປະເທດໃນໂລກ.	Hải quân Nhân dân Việt Nam là thành viên chính thức của WPNS từ năm 1994, một diễn đàn uy tín về hợp tác an ninh hàng hải giữa hải quân các nước trên thế giới.
ນອກຈາກ 2 ກົນໄກດັ່ງກ່າວ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ຍັງເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຫຼາຍຝ່າຍອື່ນ, ຄື: ການຝຶກຊ້ອມຫຼາຍຝ່າຍທະຫານເຮືອອາຊຽນ (AMNEX);	Ngoài hai cơ chế này, Hải quân Nhân dân Việt Nam còn tham gia các hoạt động đa phương khác, như Diễn tập Đa phương Hải quân ASEAN (AMNEX);
ການຝຶກຊ້ອມທາງທະເລລະຫວ່າງອາຊຽນ - ຈີນ (ACMEX), ອາຊຽນ - ອາເມລິກາ (AUMX);	Diễn tập Hàng hải ASEAN-Trung Quốc (ACMEX), ASEAN-Hoa Kỳ (AUMX);
ການຝຶກຊ້ອມທະຫານເຮືອຫຼາຍຝ່າຍ KOMODO;	Diễn tập Hải quân Đa phương KOMODO;
ການຝຶກຊ້ອມໃນຂອບເຂດກຸ່ມນັກຊ່ຽວຊານດ້ານຄວາມໝັ້ນຄົງທາງທະເລຂອງກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນເປີດກວ້າງ (ADMM+);	Diễn tập trong khuôn khổ Nhóm chuyên gia an ninh hàng hải của Hội nghị Bộ trưởng Quốc phòng ASEAN mở rộng (ADMM +);
ເຂົ້າຮ່ວມສູນແບ່ງປັນຂໍ້ມູນຂ່າວສານດ້ານຄວາມໝັ້ນຄົງທາງທະເລ (IFC) ຂອງທະຫານເຮືອສິງກະໂປ;	Tham gia Trung tâm Chia sẻ Thông tin An ninh Hàng hải Singapore (IFC);
ຈັດສົ່ງກໍາປັ່ນໄປເຂົ້າຮ່ວມພິທີສວນສະໜາມທາງທະເລສາກົນ (IMR) ຢູ່ລັດເຊຍ, ອິນເດຍ,ຈີນ, ສ.ເກົາຫຼີ...	Tàu đến Công viên Hàng hải Quốc tế (IMR) tại Nga, Ấn Độ, Trung Quốc, Hàn Quốc ...
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ເພີ່ມທະວີການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດສອງຝ່າຍກັບທະຫານເຮືອບັນດາປະເທດ, ໃນນັ້ນໃຫ້ບຸລິມະສິດບັນດາປະເທດອາຊຽນ, ບັນດາປະເທດບ້ານໃກ້ເຮືອນຄຽງຢູ່ທະເລ, ບັນດາປະເທດໃຫຍ່, ເພື່ອນມິດ, ຄູ່ຮ່ວມມືທີ່ເປັນມູນເຊື້ອ.	Hải quân nhân dân Việt Nam tăng cường quan hệ quốc phòng song phương với hải quân các nước, ưu tiên các nước ASEAN, các nước láng giềng trên biển, các nước lớn, bạn bè và đối tác truyền thống.
ຮັກສາ, ຊຸກຍູ້ບັນດາການພົວພັນທີ່ມີໃນປັດຈຸບັນໃຫ້ເຂົ້າສູ່ລວງເລິກ, ມີສະຖຽນລະພາບ ແລະແທດຈິງ;	Duy trì và thúc đẩy các mối quan hệ hiện có, sâu sắc và ổn định;
ສ້າງຕັ້ງບັນດາຂົງເຂດ, ກົນໄກຮ່ວມມືໃໝ່ຕື່ມອີກ, ໂດຍສະເພາະແມ່ນກ່ຽວກັບການບໍາລຸງສ້າງແຫຼ່ງຊັບພະຍາກອນມະນຸດ, ວິທະຍາສາດ, ເຕັກນິກ, ແບ່ງປັນຂໍ້ມູນຂ່າວສານ, ກູ້ໄພກູ້ຊີບ, ໜູນຊ່ວຍມະນຸດສະທໍາ, ກູ້ຊ່ວຍໄພພິບັດ, ປົກປ້ອງສິ່ງແວດລ້ອມ...	Thiết lập thêm các lĩnh vực, cơ chế hợp tác, nhất là về phát triển nguồn nhân lực, khoa học, công nghệ, chia sẻ thông tin, cứu hộ, cứu trợ nhân đạo, cứu trợ thiên tai, bảo vệ môi trường ...
ໃນສະເພາະໜ້າ, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ຮີບເຮັ່ງກະກຽມເພື່ອຈັດຕັ້ງກອງປະຊຸມ ANCM 14 ໃນວັນທີ 5 ພະຈິກ 2020 ໃຫ້ປະສົບຜົນສໍາເລັດ.	Đặc biệt, Hải quân Việt Nam đang chuẩn bị cho ANCM lần thứ 14 vào ngày 5/11/2020.
ນີ້ແມ່ນຄັ້ງທໍາອິດທີ່ກອງປະຊຸມ ANCM ໄດ້ຈັດຕັ້ງຜ່ານລະບົບທາງໄກຍ້ອນການຜັນແປສັບສົນຂອງພະຍາດໂຄວິດ-19.	Đây là lần đầu tiên ANCM được tổ chức từ xa do sự tiến hóa phức tạp của Kovid-19.
ຜ່ານ 2 ທົດສະວັດແຫ່ງການສ້າງຕັ້ງ ແລະພັດທະນາ, ກອງປະຊຸມ ANCM ໄດ້ກາຍເປັນເວທີປາໄສປະຈໍາປີສໍາຄັນແຖວໜ້າກ່ຽວກັບການຮ່ວມມືດ້ານທະຫານເຮືອໃນພາກພື້ນ;	Trải qua hai thập kỷ hình thành và phát triển, ANCM đã trở thành một diễn đàn lớn thường niên về hợp tác hải quân khu vực;
ເປັນບ່ອນເພື່ອໃຫ້ການນໍາທະຫານເຮືອບັນດາປະເທດອາຊຽນພົບປະແລກປ່ຽນ, ແບ່ງປັນທັດສະນະ, ສະເໜີຂໍ້ລິເລີ່ມເພີ່ມທະວີຄວາມເຂົ້າໃຈ, ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ, ຊຸກຍູ້ການຮ່ວມມື ແລະຍົກສູງຄວາມສາມາດສົມທົບກັນແກ້ໄຂບັນດາບັນຫາລວມກ່ຽວກັບຄວາມໝັ້ນຄົງທາງທະເລ.	Là nơi để các nhà lãnh đạo hải quân ASEAN gặp gỡ, trao đổi quan điểm, chia sẻ các sáng kiến nhằm tăng cường hiểu biết, xây dựng lòng tin, thúc đẩy hợp tác và nâng cao năng lực chung để giải quyết các vấn đề chung liên quan đến an ninh hàng hải.
ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ໄດ້ຕັ້ງໜ້າກະກຽມ ແລະພ້ອມແລ້ວທີ່ຈະຈັດຕັ້ງກອງປະຊຸມ ANCM 14 ໃຫ້ສໍາເລັດ, ຜ່ານນັ້ນປະກອບສ່ວນເຂົ້າໃນຜົນສໍາເລັດຂອງບັນດາກອງປະຊຸມການທະຫານ, ການປ້ອງກັນຊາດຂອງກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໃນປີຫວຽດນາມ ເປັນປະທານອາຊຽນ 2020;	Hải quân nhân dân Việt Nam đã chuẩn bị đầy đủ và sẵn sàng đăng cai ANCM lần thứ 14, góp phần vào thành công của Hội nghị quân sự, quốc phòng Bộ Quốc phòng Việt Nam trong thời gian Việt Nam làm Chủ tịch ASEAN 2020;
ສະແດງໃຫ້ເຫັນບົດບາດ, ຄວາມຮັບຜິດຊອບ, ຄວາມມານະພະຍາຍາມຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ, ເປັນເຈົ້າການຮັບມືໃນສະພາບການພະຍາດໂຄວິດ-19 ຍັງສືບຕໍ່ຜັນແປຢ່າງສັບສົນໃນໂລກ.	Thể hiện vai trò, trách nhiệm, sự kiên trì vượt qua nghịch cảnh, đương đầu với tình hình dịch bệnh Kovi-19 tiếp tục diễn biến trên thế giới.
ຜ່ານ ANCM 14, ທະຫານເຮືອປະຊາຊົນຫວຽດນາມ ພ້ອມກັບທະຫານເຮືອບັນດາປະເທດຈະຄົ້ນຄວ້າ, ສະເໜີ, ປຶກສາຫາລື, ຊຸກຍູ້ບັນດາໂຄງການ, ຂໍ້ລິເລີ່ມເພື່ອສືບຕໍ່ປັບປຸງ ແລະເພີ່ມທະວີການພົວພັນມິດຕະພາບ, ການຮ່ວມມື, ພັດທະນາ, ເພື່ອສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພຢູ່ທະເລຕາເວັນອອກ ແລະໃນພາກພື້ນ.	Thông qua ANCM 14, Hải quân nhân dân Việt Nam và hải quân các nước sẽ tìm hiểu, đề xuất, thảo luận và thúc đẩy các dự án, sáng kiến nhằm tiếp tục cải thiện và nâng cao quan hệ hữu nghị, hợp tác, phát triển, hòa bình, ổn định, an ninh và an ninh trên Biển Đông.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
