ກປ.ອອນໄລ - “ກະກຽມ...ໜຶ່ງ, ສອງ, ສາມ, ສີ່...	KP Online - “Chuẩn bị ... một, hai, ba, bốn ...
ນີ້ແມ່ນຄັ້ງທີສອງທີ່ທີມຍິງບັ່ນທອນກອງທັບປະຊາຊົນຫວຽດນາມ ເຂົ້າຮ່ວມ Army Games.	Đây là lần thứ hai đội tuyển nữ QĐND Việt Nam tham dự Hội thao Quân đội.
ປີ 2019, ເຖິງວ່າຫາກໍ່ເຂົ້າຮ່ວມການແຂ່ງຂັນ ແລະຕ້ອງແຂ່ງຂັນກັບບັນດາທີມແຂງ ແລະມີບົດຮຽນຫຼາຍຢ່າງ, ແຕ່ວ່າທີມຍິງບັ່ນທອນຫວຽດນາມ ຍາດໄດ້ລາງວັນທີສາມດ້ວຍບົດ “ຍິງບັ່ນທອນເຄື່ອນຖີ່ ຂອງກຸ່ມ A2, ລອດເຂົ້າກຸ່ມ 8 ທິມແຂ່ງຂັນຢູ່ຮອບ 2, ນັກຍິງປືນຄົນໜຶ່ງຢືນອັນດັບ 8/84 ໃນບັນຊີລາຍຊື່ບັນດານັກຍິງປືນເຂົ້າຮ່ວມການແຂ່ງຂັນ.	Năm 2019, dù mới bước vào thi đấu và phải thi đấu với các đội mạnh, có nhiều bài học kinh nghiệm nhưng đội tuyển vật nữ Việt Nam đã xuất sắc giành giải Ba với danh hiệu “Đội vật nữ A2, tồn tại ở vòng 1/8 trong 8 đội, xạ thủ nữ đầu tiên xếp thứ 8/84 trong danh sách tham gia.
ທີມຍິງບັ່ນທອນຫວຽດນາມ ຍັງໄດ້ຮັບຖືວ່າແມ່ນ “ປະກົດການ ໜຶ່ງຂອງ Army Games 2019.	Đội tuyển nữ Việt Nam cũng được coi là “hiện tượng Army Games 2019”.
ໃນຕະຫຼອດເວລາກ່ອນດຳເນີນການແຂ່ງຂັນ, ການຝຶກແອບຂອງທີມຍາມໃດກໍ່ໃກ້ຊິດກັບກະຕິກາ, ເງື່ອນໄຂຂອງບັນດາບົດຍິງເພື່ອໃຫ້ນັກຍິງປືນແຕ່ລະຄົນຝຶກແອບບັນລຸໄດ້ລະດັບ, ມີທັກສະຄ່ອງແຄ້ວ.	Trong suốt thời gian trước khi thi đấu, công tác huấn luyện của đội luôn bám sát các quy định, điều kiện của bài bắn để mỗi xạ thủ đều huấn luyện đạt trình độ, thuần thục.
ທ່ານພັນເອກພິເສດ ບຸ່ຍແຢງຫ້ຽວ ແບ່ງປັນວ່າ “ພວກເຮົາກຳນົດການຝຶກແອບດ້ວຍທິດນຳ “ກະກຽມໄວ, ຍິງຊ້າ, ຍິງດີໃນແຕ່ລະບົດ, ແຕ່ລະໄລຍະຂອງການແຂ່ງຂັນ, ສຸດທ້າຍແມ່ນຍາດໄດ້ໝາກຜົນສູງສຸດຢູ່ງານແຂ່ງຂັນ.	Đại tá Đặc công Bùi Dương Hiếu chia sẻ: “Chúng tôi đặt ra công tác huấn luyện với chỉ đạo 'Chuẩn bị nhanh, bắn chậm, bắn giỏi theo từng chương, từng giai đoạn của hội thi, cuối cùng giành kết quả cao nhất tại hội thi."
Army Games 2020 ມີ 17 ທີມຍິງບັ່ນທອນເຂົ້າຮ່ວມ.	Army Games 2020 có 17 đội tranh tài.
ໃນນັ້ນມີ 7 ທີມເຂົ້າຮ່ວມໃນປີ 2019 ແຕ່ບໍ່ເຂົ້າຮ່ວມໃນປີນີ້ ແລະມີ 3 ທີມໃໝ່.	Năm 2019 có 7 đội tham dự nhưng không phải năm nay và có 3 đội mới.
3 ທີມຢືນອັນດັບໜຶ່ງປີ 2019 ແມ່ນ: ເບລາຣຸດ, ລັດເຊຍ, ກາຢັກສະຖານ ລ້ວນແຕ່ເຂົ້າຮ່ວມຄົບລາຍການ.	Ba đội dẫn đầu năm 2019 là: Belarus, Nga và Kazakhstan.
ສະນັ້ນ, “ການແຂ່ງຂັນ ປີນີ້ຈະຍາກຄືປີກາຍ.	Vì vậy, “Cuộc thi năm nay sẽ khó khăn như năm ngoái.
ບັນດານັກຍິງຫວຽດນາມ ກໍ່ລ້ວນແຕ່ກຳນົດດ້ວຍຄວາມຕັດສິນໃຈສູງສຸດແມ່ນ: ເຮັດວຽກງານກະກຽມກ່ຽວກັບຄົນ, ກຳລັງກາຍໄດ້ດີ, ຝືກຝົນຫຼໍ່ຫຼອມກ່ຽວກັບທັກສະໃນເງື່ອນໄຂບໍ່ມີປືນຢູ່ທຸກບ່ອນ, ທຸກເວລາ.	Phụ nữ Việt Nam quyết tâm tập luyện chăm chỉ, chuẩn bị tốt, rèn luyện kỹ năng không súng ở mọi lúc, mọi nơi.
ກຳແໜ້ນກະຕິກາຂອງການແຂ່ງຂັນ, ເງື່ອນໄຂບົດຍິງເພື່ອບັນລຸຜົນງານສູງສຸດໃນງານແຂ່ງຂັນ.	Nắm nội quy cuộc thi, các điều kiện nữ để đạt thành tích cao nhất trong cuộc thi.
ຄາດຄະເນວ່າ, ປີ 2021, ຫວຽດນາມ ຈະເປັນປະເທດເຈົ້າພາບລາຍການຍິງບັ່ນທອນຂອງ Army Games.	Dự kiến năm 2021, Việt Nam sẽ là nước đăng cai tổ chức chương trình bắn súng Army Games.
ມາຮອດປະຈຸບັນ, ວຽກງານຮັບປະກັນທຸກດ້ານຄື: ລະບົບສະໜາມຝຶກຊ້ອມ, ສິ່ງກີດຂວາງ, ບ່ອນກິນຢູ່...	Đến nay, công việc được đảm bảo về mọi mặt: hệ thống đào tạo, rào chắn, nơi ăn, nghỉ ...
ລ້ວນແຕ່ສຳເລັດແລ້ວ.	Tất cả đã xong.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
