ກປ.ອອນໄລ - ມົດສະກູ ກຽມກ້າວເຂົ້າສູ່ລະດູໃບໄມ້ຫຼົ່ນສະນັ້ນອາກາດຈຶ່ງເປັນສີໜາວໆໜ້ອຍໜຶ່ງ.	Matxcova đang chuẩn bị cho mùa thu nên thời tiết nhiều mây.
ທ່ານພັນຕີ ຄວດວັນຕ່າຍ ຄູຝຶກຂອງທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ໃຫ້ຮູ້ວ່າ “ຕອນເຊົ້າວັນທີ 17 ສິງຫາ, ທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ໄດ້ຈົກສະຫຼາກສີລົດແຂ່ງຂັນຮອບຄັດເລືອກແມ່ນສີເຫຼືອງ ແລະຕອນບ່າຍວັນດຽວກັນໄດ້ຮັບລົດແຂ່ງຂັນຈາກຄະນະຈັດຕັ້ງ.	Trung tá Quất Văn Tây, huấn luyện viên đội xe tăng Quân đội nhân dân Việt Nam cho biết: “Sáng 17/8, đội xe tăng Quân đội nhân dân Việt Nam được chọn là xe đua màu vàng, đến chiều cùng ngày thì xe đua đã được ban tổ chức tiếp nhận.
ມື້ນີ້, ບັນດາຈຸລົດຂອງທີມໄດ້ດຳເນີນການກວດກາເຕັກນິກ ແລະບຳລຸງຮັກສາລົດແຂ່ງຂັນ.	Hôm nay, các phương tiện của đội đã kiểm tra tình trạng kỹ thuật và bảo dưỡng xe đua.
ຜ່ານການກວດກາ, ສະພາບເຕັກນິກລົດແຂ່ງຂັນຂອງທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ແມ່ນດີທີ່ສຸດ, ມີເງື່ອນໄຂຄົບຖ້ວນເພື່ອເຂົ້າຮ່ວມການແຂ່ງຂັນ.	Qua kiểm tra, tình trạng kỹ thuật của giải đua xe Quân đội nhân dân Việt Nam rất tốt, có đầy đủ các điều kiện để tham gia giải đua.
ວຽກງານກວດກາເຕັກນິກ, ບຳລຸງຮັກສາລົດມີຄວາມສຳຄັນພິເສດ, ຕັດສິນການຊະນະຂອງທີມໄດ້ເຖິງ 70%.	Việc kiểm tra kỹ thuật, bảo dưỡng xe có tầm quan trọng đặc biệt, quyết định đến 70% chiến thắng của đội.
ໃນຕະຫຼອດວິວັດການກວດກາເຕັກນິກ ແລະບຳລຸງຮັກສາລົດແຂ່ງຂັນ, ທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ແລະບັນດາທີິມທີ່ເຂົ້າຮ່ວມການແຂ່ງຂັນ “ລົດຕັງເຄື່ອນຖິ່ ລ້ວນແຕ່ໄດ້ຮັບການໜູນຊ່ວຍຢ່າງສຸດຈິດສຸດໃຈຈາກບັນດາໜ່ວຍເຕັກນິກຂອງກະຊວງປ້ອງກັນປະເທດສະຫະພັນລັດເຊຍ ເພື່ອແກ້ໄຂບັນດາກໍລະນີທີ່ອາດຈະເກີດຂຶ້ນໄດ້ຢ່າງທັນການ, ຮັບປະກັນລົດໃຫ້ຢູ່ໃນສະພາບເຕັກນິກດີທີ່ສຸດກ່ອນທີ່ຈະເຂ້ົາຮ່ວມແຂ່ງຂັນ.	Trong suốt quá trình kiểm tra kỹ thuật và bảo dưỡng xe đua, đoàn xe tăng Quân đội nhân dân Việt Nam và các đội tham gia “tất cả các xe tăng đang di chuyển đã được đội kỹ thuật của Bộ Quốc phòng Nga hỗ trợ hết sức để giải quyết mọi va chạm kỹ thuật có thể xảy ra trong thời gian sớm nhất. .
ເຂົ້າຮ່ວມໜູນຊ່ວຍບັນດາສະມາຊິກຂອງທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ກວດກາເຕັກນິກ ແລະບຳລຸງຮັກສາລົດແຂ່ງຂັນໂດຍກົງນັ້ນ, ທ່ານຮ້ອຍຕີ Danill Khanzhin ໃຫ້ຮູ້ວ່າ, ສອງຝ່າຍໄດ້ແບ່ງປັນ ແລະຖອດຖອນບົດຮຽນໄດ້ຫຼາຍຢ່າງ.	Trung tá Danill Khanzhin cho rằng hai bên đã chia sẻ và rút ra nhiều bài học kinh nghiệm.
ທ່ານຮ້ອຍຕີ Danill Khanzhin ແບ່ງປັນວ່າ “ພວກເຮົາໄດ້ເຮັດວຽກນຳກັນຢ່າງແໜ້ນແຟ້ນ.	Đại úy Danill Khanzhin chia sẻ: “Chúng tôi đã làm việc chăm chỉ.
ບັນດາສະມາຊິກຂອງທີມມີຄວາມສະໜິດສະໜົມ.	Các thành viên trong nhóm rất thân thiện.
ຂ້າພະເຈົ້າຂໍອວຍພອນໃຫ້ທີມລົດຕັງກອງທັບປະຊາຊົນຫວຽດນາມ ຈົ່ງໂຊກດີ ແລະປະສົບຜົນສຳເລັດໃນການແຂ່ງຂັນເປັນຢ່າງດີໃນໄລຍະຈະມາເຖິງ.	Xin chúc cho đội xe tăng QĐND Việt Nam gặp nhiều may mắn và thành công trong cuộc thi sắp tới.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
