ກປ.ອອນໄລ - Viettel ຍາມໃດກໍ່ໄດ້ພະນັກງານ, ພາລະກອນແຕ່ລະຄົນຖືວ່າເປັນເຮືອນຫຼັງທີສອງຂອງຕົນ.	KR Online - Viettel luôn có những nhân viên, từng công việc được coi là ngôi nhà thứ hai của mình.
ກຸ່ມບໍລິສັດໄດ້ເຈລະຈາກັບທະນາຄານການຄ້າຫຸ້ນສ່ວນກອງທັບ (MB) ມີນະໂຍບາຍໜູນຊ່ວຍໃຫ້ແກ່ພະນັກງານ, ພາລະກອນກູ້ຢືມເງິນດ້ວຍດອກເບ້ຍຕໍ່າກວ່າເມື່ອທຽບໃສ່ກັບລູກຄ້າທໍາມະດາ.	Tập đoàn đã đàm phán với Ngân hàng TMCP Quân đội (MB) để có chính sách trợ giá cho nhân viên, vay với lãi suất thấp hơn so với khách hàng thông thường.
ພິເສດ, ບັນດາຜູ້ທີ່ມີການປະກອບສ່ວນຢ່າງດີເດັ່ນຍັງໄດ້ໜູນຊ່ວຍ 50% ອັດຕາດອກເບ້ຍເມື່ອກູ້ຢືມໄປຊື້ເຮືອນຢູ່ຈາກກຸ່ມບໍລິສັດ.	Đặc biệt, những người có đóng góp đáng kể còn được hỗ trợ 50% lãi suất khi vay mua nhà của nhóm công ty.
ພິເສດ, ເພື່ອໃຫ້ບັນດາພະນັກງານ, ພາລະກອນອຸ່ນອ່ຽນໃຈເມື່ອໄປປະຕິບັດງານຢູ່ໄກ, Viettel ໄດ້ນຳໃຊ້ເບີໂທລະສັບສາຍດ່ວນໜູນຊ່ວຍດ້ານການແພດໃຫ້ແກ່ຍາດຕິພີ່ນ້ອງຂອງບັນດາພະນັກງານ, ພາລະກອນ.	Đặc biệt, để nhân viên an tâm khi di chuyển đường dài, Viettel đã đưa vào sử dụng đường dây nóng để hỗ trợ y tế cho người thân của nhân viên.
ຄ່າໃຊ້ຈ່າຍກວດພະຍາດເບື້ອງຕົ້ນກຸ່ມບໍລິສັດກໍ່ໄດ້ຈ່າຍໃຫ້.	Chi phí khám ban đầu do nhóm chi trả.
ຄົນດີເດັ່ນຂອງ Viettel ຕ້ອງໄດ້ຮັບການເປີດກວ້າງຄວາມຮູ້	Giới tinh hoa Viettel cần cởi mở
ກຸ່ມບໍລິສັດໜູນຊ່ວຍຄ່າໃຊ້ຈ່າຍບໍາລຸງສ້າງ, ພ້ອມທັງໃຊ້ຈ່າຍເງິນເດືອນຕາມຕໍາແໜ່ງໃຫ້ແກ່ພະນັກງານ, ພາລະກອນດີເດັ່ນ ແລະພະນັກງານຄຸ້ມຄອງເຂົ້າຮ່ວມບັນດາຊຸດບໍາລຸງສ້າງພາຍໃນ ແລະຕ່າງປະເທດ.	Tập đoàn công ty Foun hỗ trợ kinh phí bảo trì, cũng như trả lương theo vị trí cho nhân viên, nhân viên xuất sắc và nhân viên quản lý tham gia các gói đào tạo trong và ngoài nước.
ຄົນດີເດັ່ນຂອງ Viettel ຕ້ອງໄດ້ຮັບການເປີດກວ້າງຄວາມຮູ້.	Giới tinh hoa Viettel cần có tư duy cởi mở.
ພາບ: ຫາຍດັງ.	Ảnh: Mũi hếch
ປີ 2016, ວິທະຍາຄານ Viettel ໄດ້ເປີດຊຸດບໍາລຸງວິຊາການ “ຄຸ້ມຄອງການເຄື່ອນໄຫວບໍາລຸງສ້າງຢ່າງມີປະສິດທິຜົນ ສໍາລັບ 26 ສະຫາຍທີ່ພວມປະຕິບັດວິຊາການບໍາລຸງສ້າງຢູ່ວິທະຍາຄານ ແລະບັນດາກົມກອງໃຫຍ່ໃນກຸ່ມບໍລິສັດ.	Năm 2016, Trường Đại học Viettel đã triển khai khóa đào tạo “Quản lý hiệu quả hoạt động đào tạo cho 26 đồng nghiệp đang thực hiện các khóa đào tạo tại trường và các đơn vị trực thuộc.
ຊຸດບໍາລຸງແນໃສ່ຊ່ວຍພະນັກງານ, ພາລະກອນພວມປະຕິບັດໜ້າທີ່ບໍາລຸງສ້າງໃນກຸ່ມບໍລິສັດໄດ້ຮັບການປະກອບຄວາມຮູ້ກ່ຽວກັບຄວາມສຳນຶກ ແລະວິທີການບໍາລຸງສ້າງຢ່າງມີປະສິດທິຜົນ;	Gói đào tạo nhằm giúp các nhân viên đang thực hiện nhiệm vụ đào tạo trong tập đoàn công ty được cung cấp kiến thức về nhận thức và phương pháp đào tạo hiệu quả;
ໄຈ້ແຍກຄວາມຕ້ອງການບໍາລຸງສ້າງ (TNA-Training Needs Analysis)...	Xác định nhu cầu đào tạo (TNA-Phân tích nhu cầu đào tạo) ...
ຕາມທ່ານນາງ ບຸ່ຍຫງອັກດຽບ, ຮອງຜູ້ອໍານວຍການວິທະຍາຄານ Viettel ແລ້ວ, ແຕ່ກ່ອນຮອດປະຈຸບັນ, ສ່ວນຫຼາຍບັນດາສະຫາຍທີ່ເຮັດວຽກບໍາລຸງສ້າງຢູ່ Viettel ປະຕິບັດໜ້າທີ່ຕາມສັນຊາດຕະຍານ ແລະຈິນຕະນາການປະສົບການຂອງຕົນເອງ, ຍ້ອນເຫດນັ້ນ, ສະພາບຕົວຈິງຮຽກຮ້ອງຕ້ອງການເປີດຊຸດບໍາລຸງສ້າງນີ້ ເພື່ອແນໃສ່ປະກອບຄວາມຮູ້, ທັກສະ, ວິທີການລວມກ່ຽວກັບການຄຸ້ມຄອງການບໍາລຸງສ້າງຢ່າງມີປະສິດທິຜົນ.	Theo bà Bùi Hồng Akíp, Phó Giám đốc Đại học Viettel, cho đến nay, hầu hết các đồng chí làm công tác đào tạo tại Viettel đều thực hiện đúng bản năng, tưởng tượng trải nghiệm của bản thân.
ນີ້ແມ່ນຊຸດບໍາລຸງທຳອິດເຊິ່ງນອນໃນລາຍການຍົກສູງກໍາລັງຄວາມສາມາດຂອງພະນັກງານປະຕິບັດວຽກງານບໍາລຸງສ້າງຢູ່ Viettel.	Đây là gói đào tạo đầu tiên nằm trong danh sách nâng cao năng lực cho nhân viên làm công tác bảo trì tại Viettel.
ພູມປັນຍາທີ່ມີຄຸນຄ່າຫຼາຍຢ່າງເຊິ່ງທັງຄູອາຈານ ແລະນັກສໍາມະນາກອນສະຫຼຸບສັງລວມ: “ບໍາລຸງສ້າງພຽງແຕ່ກະທົບເຖິງຄວາມຮູ້, ທ່າທີ, ທັກສະຂອງແຕ່ລະບຸກຄົນ.	Có rất nhiều điều quý giá mà cả giảng viên và học viên đều đúc kết: “Việc đào tạo chỉ ảnh hưởng đến kiến thức, thái độ và kỹ năng của mỗi cá nhân.
ຍ້ອນເຫດນັ້ນ, ຢາກບໍາລຸງສ້າງບັນລຸໄດ້ປະສິດທິຜົນຕ້ອງຕິດພັນກັບການກະທໍາປອດບໍາລຸງສ້າງ (ກົນໄກນະໂຍບາຍ, ສະພາບແວດລ້ອມແຫ່ງການເຮັດວຽກ...	Do đó, muốn đào tạo đạt hiệu quả phải gắn với hoạt động đào tạo an toàn (cơ chế chính sách, môi trường làm việc ...
) ...	) ...
ຄົນຂອງ Viettel ຍາມໃດກໍ່ໄດ້ຮັບການຮັບຮູ້	Con người của Viettel luôn được ghi nhận
ກຸ່ມບໍລິສັດຍາມໃດກໍ່ເອົາໃຈໃສ່ເຖິງການໃຫ້ລາງວັນທີ່ເໝາະສົມໃຫ້ແກ່ບັນດາແນວຄິດ, ຂໍ້ລິເລີ່ມ, ບາງຄົນໄດ້ຮັບລາງວັນນັບຫຼາຍຮ້ອຍລ້ານດົ່ງໃຫ້ແກ່ຂໍ້ລິເລີ່ມຂອງຕົນ.	Tập đoàn luôn chú trọng khen thưởng cho các ý tưởng, sáng kiến, có những sáng kiến được khen thưởng hàng trăm triệu đồng.
ນາມມະຍົດແບບຢ່າງດີເດັ່ນຂອງກຸ່ມບໍລິສັດດ້ວຍເງິນບໍາເນັດເຖິງ 100 ລ້ານດົ່ງໄດ້ມອບໃຫ້ທັງຜູ້ລິເລີ່ມ ແລະຜູ້ຮ່ວມງານ.	Danh hiệu xuất sắc của nhóm với số tiền trợ cấp 100 triệu đồng được trao cho cả người khởi xướng và cộng tác viên.
Viettel ກໍ່ແມ່ນສະຖານທີ່ທີ່ສ້າງກາລະໂອກາດຫຼາຍຢ່າງຊ່ວຍບັນດາເພື່ອນໜຸ່ມເຕີບໃຫຍ່ກວ່າໝູ່ເພື່ອນໃນລຸ້ນດຽວກັນ.	Viettel cũng là nơi tạo ra rất nhiều cơ hội giúp các bạn đồng trang lứa phát triển hơn các bạn cùng thế hệ.
ແລະບັນດາສິ່ງຕ່າງໆ	Và mọi thứ
ນອກຈາກບັນດາວັນພັກຜ່ອນຕາມການກໍານົດຄື: ວັນໄຫວ້ບູຊາ ເຈົ້າຊີວິດ ຮຸ່ງ (ວັນທີ 10 ມີນາ ຕາມຈັນທະປະຕິທິນ), ວັນປົດປ່ອຍພາກໃຕ້ຫວຽດນາມ (ວັນທີ 30 ເມສາ) ແລະວັນກໍາມະກອນສາກົນ (ວັນທີ 1 ພຶດສະພາ)...	Ngoài các ngày lễ được chỉ định như Ngày Hùng (10/3 âm lịch), Ngày giải phóng miền Nam Việt Nam (30/4) và Ngày Quốc tế Công nhân (1/5) ...
ພະນັກງານ, ພາລະກອນ Viettel ເຖິງວ່າແມ່ນທະຫານ ຫຼື ບໍ່ແມ່ນທະຫານກໍ່ລ້ວນແຕ່ໄດ້ພັກວຽກໃນວັນທີ 22 ທັນວາ ຕື່ມອີກ.	Nhân viên Viettel dù là quân nhân hay không thuộc quân đội đã đồng loạt đình công vào ngày 22/12.
ນອກຈາກລະບອບປະກັນໄພແລ້ວ, ພະນັກງານ, ພາລະກອນເຈັບປ່ວຍໄລຍະຍາວ ຫຼື ພັກຜ່ອນຕາມລະບອບນະໂຍບາຍສຳລັບການເກີດລູກ ຈະໄດ້ຊົມໃຊ້ເງິນເດືອນຕາມຕໍາແໜ່ງ-ໝາຍຄວາມວ່າກັບ 40% ເງິນເດືອນເປົ້າໝາຍ.	Ngoài chế độ bảo hiểm, người lao động nghỉ ốm đau dài hạn, thai sản sẽ được hưởng mức lương bằng 40% mức lương mục tiêu.
ກຸ່ມບໍລິສັດຍັງໜູນຊ່ວຍຄ່າໃຊ້ຈ່າຍໄປທ່ອງທ່ຽວຢູ່ບາງປະເທດອາຊີ...	Nhóm cũng đài thọ chi phí đi lại ở một số nước châu Á ...
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
