ກປ.ອອນໄລ - ສິ້ນສຸດປີ 2017, Viettel Post ບັນລຸຍອດລາຍຮັບ 5.099 ຕື້ດົ່ງ, ປະຕິບັດສໍາເລັດ 112,3% ແຜນການ.	KPR Online - Kết thúc năm 2017, Viettel Post đạt doanh thu 5.099 tỷ đồng, đạt 112,3% kế hoạch.
ເນື່ອງໃນໂອກາດຕອບບຸນແທນຄຸນນີ້, ພວກຂ້າພະເຈົ້າສຸມໃສ່ເຂົ້າໃນການກໍາແໜ້ນຄວາມຕ້ອງການຂອງລູກຄ້າ ແລະແກ້ໄຂບັນດາປັດໄຈນັ້ນ.	Đổi lại cơ hội này, chúng tôi tập trung vào việc xác định nhu cầu của khách hàng và giải quyết các yếu tố đó.
ນີ້ແມ່ນປະຖົມປັດໄຈຂອງປີ 2018, ພວກຂ້າພະເຈົ້າຈະສືບຕໍ່ຈັດຕັ້ງກອງປະຊຸມສໍາມະນາໃນກາງປີ, ນັ້ນແມ່ນຮອບວຽນເພື່ອໃຫ້ລູກຄ້າໄດ້ຮັບຟັງ, ເຂົ້າໃຈ ເພື່ອເປັນພື້ນຖານກໍ່ສ້າງ Viettel Post ຕາມທິດນໍາດໍາເນີນທຸລະກິດ, ຍຸດທະສາດດໍາເນີນທຸລະກິດໃໝ່ ແມ່ນມຸ່ງຫາລູກຄ້າຫຼາຍກວ່າປັດໄຈແກ່ງແຍ້ງ.	Đây là yếu tố hàng đầu của năm 2018, chúng tôi sẽ tiếp tục tổ chức các hội thảo vào giữa năm, đó là chu kỳ để khách hàng lắng nghe, thấu hiểu để làm cơ sở xây dựng Viettel Post theo hướng kinh doanh, chiến lược kinh doanh là khách hàng hơn. -định hướng hơn là cạnh tranh.
Viettel Post ຍູ້ແຮງການໝູນໃຊ້ເຕັກໂນໂລຢີທັນສະໄໝໃນບັນດາການເຄື່ອນໄຫວ.	Viettel Post đẩy mạnh ứng dụng công nghệ hiện đại trong phong trào.
ພາບ: ວັນຟອງ-ຫງວຽນຢາງ.	Ảnh: Vân Phong - Nguyễn Giang.
ນັກຂ່າວ: ໃນທ່າອ່ຽງປັດຈຸບັນ, Viettel Post ໄດ້ເຮັດຫຍັງແດ່ເພື່ອທ່ວງທັນກັບການປະຕິວັດເຕັກໂນໂລຢີ 4.0, ຂໍຮຽນສະຫາຍ?	PV: Trong xu thế hiện nay, Viettel Post đã làm gì để bắt kịp cuộc cách mạng công nghệ 4.0?
ຮ້ອຍເອກພິເສດ ເຈິ່ນຈຸງຮືງ ໃຫ້ສໍາພາດວ່າ: Viettel Post ຮູ້ສຶກໄດ້ເລື່ອງໝູນໃຊ້ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານໃນການສະໜອງບໍລິການ.	Phỏng vấn Đại úy đặc công Trần Chung Hùng: “Bưu chính Viettel đã ý thức được việc sử dụng công nghệ thông tin trong việc cung cấp dịch vụ.
ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານບໍ່ພຽງແຕ່ນໍາມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ແກ່ລູກຄ້າເທົ່ານັ້ນ, ຫາກຍັງສ້າງສະມັດຕະພາບແຮງງານ, ຄວາມໂປ່ງໃສບໍລິການຂຶ້ນໃຫ້ທົ່ວລະບົບ.	Công nghệ thông tin không chỉ mang lại lợi ích cho khách hàng mà còn xây dựng hiệu quả lao động và tính minh bạch của hệ thống trên toàn hệ thống.
ສະນັ້ນ, ກ້າວເຂົ້າສູ່ປີ 2018, Viettel Post ຈະແຍກຮູບແບບໃໝ່ ແລະສ້າງຕັ້ງບໍລິສັດໃຫຍ່ເຕັກໂນໂລຢີຢ່າງເປັນທາງການ.	Vì vậy, bước sang năm 2018, Viettel Post sẽ đột phá và chính thức thành lập một gã khổng lồ công nghệ.
ບໍລິສັດນີ້ຈະແກ້ໄຂບັນດາບັນຫາຄວາມຕ້ອງການຂອງລູກຄ້າ, ກໍ່ຄືຄວາມຕ້ອງການພາຍໃນບໍລິສັດໄປສະນີ.	Công ty này sẽ giải quyết các nhu cầu của khách hàng, cũng như các nhu cầu bên trong công ty bưu chính.
ລວມທັງກ່ຽວຂ້ອງເຖິງເລື່ອງລົງທຶນດ້ານເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ, ລົງທຶນດ້ານເຕັກໂນໂລຢີອັດຕະໂນມັດ.	Bao gồm đầu tư công nghệ thông tin, đầu tư công nghệ tự động hóa.
ຊໍ້າບໍ່ໜໍາ, ພວກຂ້າພະເຈົ້າຍັງລົງທຶນທັງລະບົບເດີ່ນ ແລະສາງ, ນີ້ແມ່ນບັນດາປັດໄຈ ເຊິ່ງພວກຂ້າພະເຈົ້າຈະລົງທຶນໃນໄລຍະຈະມາເຖິງ.	Không còn nghi ngờ gì nữa, chúng tôi cũng đầu tư vào hệ thống bến bãi, kho bãi, đây là những yếu tố mà chúng tôi sẽ đầu tư trong thời gian tới.
ຂໍຂອບໃຈ!	Cảm ơn!
ແປໂດຍ: ຮຸຍດົງ.	Dịch bởi: Huy Đông.
