ກປ.ອອນໄລ - ຫວຽດນາມ ຫາກໍ່ສິ້ນສຸດ 1 ເດືອນໃນຖານະຕໍາແໜ່ງເປັນປະທານສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ດ້ວຍບັນດາໝາກຜົນທີ່ໄດ້ຮັບການຕີລາຄາຢ່າງຕັ້ງໜ້າຈາກປະເທດຕ່າງໆ.	Việt Nam vừa hoàn thành nhiệm kỳ một tháng làm Chủ tịch Hội đồng Bảo an Liên hợp quốc (HĐBA LHQ).
ຫວຽດນາມ ໄດ້ມີການເລືອກເຟັ້ນຫົວຂໍ້ບຸລິມະສິດຢ່າງເໝາະສົມກັບຄວາມຮຽກຮ້ອງຕ້ອງການຢ່າງຮີບດ່ວນຂອງສະພາບຕົວຈິງໃນເດືຶອນເປັນປະທານ, ນັ້ນແມ່ນຊຸກຍູ້ການເຄົາລົບກົດບັດ ສປຊ ເພື່ອຮັກສາສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງສາກົນ, ຫວຽດນາມ ພ້ອມກັບບັນດາປະເທດສະມາຊິກໄດ້ປະກອບສ່ວນຊຸກຍູ້ການເຄົາລົບກົດໝາຍສາກົນ, ກົດບັດ ສປຊ ແລະຢັ້ງຢືນຄືນໃໝ່ຄວາມສໍາຄັນຂອງການ ຮ່ວມມືຫຼາຍຝ່າຍໃນການຮັກສາສັນຕິພາບ ແລະຄວາມໝັ້ນຄົງສາກົນ.	Việt Nam đã chọn một chủ đề ưu tiên phù hợp với nhu cầu cấp thiết của nhiệm kỳ Tổng thống, đó là thúc đẩy tôn trọng Hiến chương Liên hợp quốc nhằm duy trì hòa bình và ổn định quốc tế, Việt Nam và các quốc gia thành viên.
ຫວຽດນາມ ກໍ່ໄດ້ຮັບການຮັບຮູ້ຈາກປະເທດຕ່າງໆ ຍ້ອນໄດ້ສ້າງໂຄງການດໍາເນີນງານທີ່ເໝາະສົມ ເພື່ອຊຸກຍູ້ບັນດາເປົ້າໝາຍບຸລິມະສິດ.	Việt Nam đã được nhiều nước công nhận về việc xây dựng các kế hoạch hành động phù hợp để hỗ trợ các mục tiêu ưu tiên của mình.
ຕ້ອງເວົ້າເຖິງຂໍ້ລິເລີ່ມຂອງຫວຽດນາມ ໃນເດືອນເປັນປະທານສະພາຄວາມໝັ້ນຄົງ ສປຊ ແມ່ນເປັນຄັ້ງທຳອິດໄດ້ຈັດຕັ້ງກອງປະຊຸມກ່ຽວກັບການຊຸກຍູ້ການຮ່ວມມືລະຫວ່າງ ສປຊ ແລະອາຊຽນ ຢູ່ສະພາຄວາມໝັ້ນຄົງ, ປະກອບສ່ວນເພີ່ມທະວີການຮ່ວມມືລະຫວ່າງບັນດາອົງການຈັດຕັ້ງຫຼາຍຝ່າຍໃຫຍ່ທີ່ສຸດໃນທົ່ວໂລກກັບອາຊຽນ ເຊິ່ງຫວຽດນາມ ເປັນສະມາຊິກ.	Sáng kiến của Việt Nam trong tháng Chủ tịch Hội đồng Bảo an Liên hợp quốc là lần đầu tiên Hội nghị Hợp tác Liên hợp quốc-ASEAN được tổ chức tại Hội đồng Bảo an, góp phần tăng cường hợp tác giữa các tổ chức đa phương lớn nhất trên thế giới, trong đó Việt Nam là một hội viên.
ສິ່ງທີ່ພົ້ນເດັ່ນແມ່ນ, ຫວຽດນາມ ໄດ້ສະ ເໜີຈັດຕັ້ງການເຈລະຈາຂັ້ນສູງອາຊຽນ - ສປຊ ກ່ຽວກັບການພັດທະນາແບບຍືນຍົງເນື່ອງໃນໂອກາດກອງປະຊຸມສຸດຍອດອາຊຽນ - ສປຊ ຢູ່ຫວຽດນາມໃນເດືອນຕຸລາ 2020.	Đáng chú ý, Việt Nam đã đăng cai tổ chức Hội nghị Cấp cao ASEAN-LHQ về Phát triển bền vững nhân dịp Hội nghị Cấp cao ASEAN-LHQ tại Việt Nam vào tháng 10/2020.
ນີ້ຈະແມ່ນໂອກາດເພື່ອເຮັດໃຫ້ການພົວພັນລະຫວ່າງຫວຽດນາມ ກັບປະເທດຕ່າງໆ, ບັນດາຄູ່ຮ່ວມມືທີ່ສຳຄັນຢູ່ພາກພື້ນກໍ່ຄືຢູ່ໃນໂລກເລິກເຊິ່ງກວ່າອີກ.	Đây sẽ là cơ hội làm sâu sắc hơn nữa quan hệ của Việt Nam với các nước, các đối tác quan trọng trong khu vực và trên thế giới.
ພາບປະກອບຈາກສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ສິ່ງທ້າທາຍຍາມໃດກໍ່ໄປຄຽງຄູ່ກັບໂອກາດ.	Thách thức luôn song hành với cơ hội.
ຜ່ານຜ່າສິ່ງທ້າທາຍທຳອິດທີ່ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດໄດ້ຊ່ວຍສ້າງພື້ນຖານ ແລະສ້າງທ່ວງທ່າສະດວກໃຫ້ແກ່ການເຂົ້າຮ່ວມຂອງຫວຽດນາມ ໃນທັງອາຍຸການ 2020-2021.	Vượt qua thử thách đầu tiên, Hội đồng Bảo an Liên hợp quốc đã giúp đặt nền móng và tạo điều kiện cho Việt Nam tham gia vào giai đoạn 2020-2021.
ດໍາລົງຕຳແໜ່ງເປັນປະທານເດືອນທໍາອິດສຳເລັດຜົນກໍ່ແມ່ນພື້ນຖານເພື່ອໃຫ້ຫວຽດນາມ ມີຄວາມເຊື່ອໝັ້ນວ່າຈະສືບຕໍ່ປະສົບຜົນສຳເລັດໃນໜ້າທີ່ຕໍ່ໄປ, ໃນຕໍ່ໜ້າແມ່ນເດືອນທີສອງທີ່ເປັນປະທານໃນເດືອນເມສາ 2021.	Thành công của nhiệm kỳ chủ tịch tháng đầu tiên là cơ sở để Việt Nam tự tin tiếp tục gặt hái thành công trong tháng tiếp theo, tháng thứ hai của tháng 4/2021.
ຜ່ານນັ້ນ, ພິສູດໃຫ້ບັນດາປະເທດສະມາຊິກກໍ່ຄືບັນດາຄູ່ຮ່ວມມືເຫັນໄດ້ຄວາມສາມາດໃນການຈັດຕັ້ງ, ການປະສານງານ ແລະການເປັນປະທານຂອງຫວຽດນາມ, ປະກອບສ່ວນສ້າງຂີດໝາຍຫວຽດນາມ ຢູ່ເວທີປາໄສຫຼາຍຝ່າຍສໍາຄັນທີ່ສຸດ, ສົມກັບຄວາມໄວ້ເນື້ອເຊື່ອໃຈຂອງປະຊາຄົມສາກົນ ເມື່ອໄດ້ຮັບເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ.	Qua đó, chứng minh cho các quốc gia thành viên và đối tác thấy khả năng tổ chức, điều phối và chủ trì của Việt Nam, góp phần xây dựng biên giới Việt Nam tại một diễn đàn đa phương quan trọng nhất, xứng đáng với sự tín nhiệm của cộng đồng quốc tế khi được bầu làm Thường trực. đại biểu Quốc hội.
ດໍາລົງບົດບາດໃໝ່ ແລະພາລະໜ້າທີ່ໃໝ່ສຳເລັດຜົນກໍ່ແມ່ນກາລະໂອກາດ ເພື່ອໃຫ້ຫວຽດນາມ ຍົກສູງການພົວພັນຕ່າງປະເທດຫຼາຍຝ່າຍ, ປະກອບສ່ວນຢ່າງແທດຈິງເຂົ້າໃນການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ ແລະຄວາມໝັ້ນຄົງສາກົນກໍ່ຄືພາກພື້ນ, ປະກອບສ່ວນຍົກສູງຖານະທີ່ຕັ້ງຂອງປະເທດຊາດ, ຢືນຢັນການມີໜ້ານັບມື້ນັບຈະແຈ້ງຂອງຫວຽດນາມ ຢູ່ເວທີສາກົນ.	Việc thực hiện nguyện vọng và trách nhiệm của mình là cơ hội để Việt Nam tăng cường quan hệ đối ngoại đa phương, đóng góp thiết thực vào việc duy trì hòa bình, ổn định, an ninh quốc tế ở khu vực và giữ vững vị thế của quốc gia.
ຜ່ານນັ້ນ, ຮັກສາສະພາບແວດລ້ອມແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບໃຫ້ແກ່ການພັດທະນາປະເທດຊາດ.	Thông qua đó, chúng ta sẽ duy trì một môi trường hòa bình và ổn định cho sự phát triển của quốc gia.
ຍັງມີອີກ 23 ເດືອນແຫ່ງການດຳເນີນອາຍຸການ, ສິ່ງທ້າທາຍຍັງຢູ່ຕໍ່ໜ້າ, ແຕ່ດ້ວຍບັນດາປະຖົມບັດໄຈສຳຄັນທີ່ສ້າງໄດ້, ຫວຽດນາມ ເຊື່ອໝັ້ນວ່າ ຈະສືບຕໍ່ມີການປະກອບສ່ວນຢ່າງມີປະສິດທິຜົນກວ່າ, ປະສົບຜົນສຳເລັດກວ່າອີກ, ຮ່ວມແຮງຮ່ວມໃຈພ້ອມກັບສາກົນ ເພື່ອໂລກແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບ, ການຮ່ວມມື ແລະການພັດທະນາ.	Còn 23 tháng nữa, thách thức vẫn còn, nhưng với những yếu tố then chốt đã đặt ra, Việt Nam tin tưởng sẽ tiếp tục đóng góp hiệu quả hơn, thành công hơn nữa, chung sức cùng cộng đồng quốc tế vì hòa bình, ổn định, hợp tác và phát triển của thế giới.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
